key,year,venue,pub_type,title,authors
conf/wsdm/JagermanMR19,2019,WSDM,inproceedings,When People Change their Mind: Off-Policy Evaluation in Non-stationary Recommendation Environments.,Rolf Jagerman|Ilya Markov|Maarten de Rijke
conf/wsdm/Prado-RomeroPS23,2023,WSDM,inproceedings,Developing and Evaluating Graph Counterfactual Explanation with GRETEL.,Mario Alfonso Prado-Romero|Bardh Prenkaj|Giovanni Stilo
conf/wsdm/PibiriPM19,2019,WSDM,inproceedings,Fast Dictionary-Based Compression for Inverted Indexes.,Giulio Ermanno Pibiri|Matthias Petri|Alistair Moffat
conf/wsdm/YuL18,2018,WSDM,inproceedings,Review-Aware Answer Prediction for Product-Related Questions Incorporating Aspects.,Qian Yu|Wai Lam
conf/wsdm/MengKZM20,2020,WSDM,inproceedings,Separate and Attend in Personal Email Search.,Yu Meng 0001|Maryam Karimzadehgan|Honglei Zhuang|Donald Metzler
conf/wsdm/ChenGJH23,2023,WSDM,inproceedings,Relation Preference Oriented High-order Sampling for Recommendation.,Mukun Chen|Xiuwen Gong|YH Jin|Wenbin Hu 0001
conf/wsdm/GallagherCBC19,2019,WSDM,inproceedings,Joint Optimization of Cascade Ranking Models.,Luke Gallagher|Ruey-Cheng Chen|Roi Blanco|J. Shane Culpepper
conf/wsdm/GuZCLPQ19,2019,WSDM,inproceedings,Relevance Search over Schema-Rich Knowledge Graphs.,Yu Gu 0016|Tianshuo Zhou|Gong Cheng 0001|Ziyang Li 0005|Jeff Z. Pan|Yuzhong Qu
conf/wsdm/UstalovSBL23,2023,WSDM,inproceedings,4th Crowd Science Workshop - CANDLE: Collaboration of Humans and Learning Algorithms for Data Labeling.,Dmitry Ustalov|Saiph Savage|Niels van Berkel|Yang Liu 0018
conf/wsdm/WangCDXG023,2023,WSDM,inproceedings,Effective Graph Kernels for Evolving Functional Brain Networks.,Xinlei Wang|Jinyi Chen|Bing Tian Dai|Junchang Xin|Yu Gu 0002|Ge Yu 0001
conf/wsdm/HopeS18,2018,WSDM,inproceedings,Ballpark Crowdsourcing: The Wisdom of Rough Group Comparisons.,Tom Hope|Dafna Shahaf
conf/wsdm/ISVGV24,2024,WSDM,inproceedings,Mitigating Factual Inconsistency and Hallucination in Large Language Models.,Muneeswaran I|Advaith Shankar|Varun V|Saisubramaniam Gopalakrishnan|Vishal Vaddina
conf/wsdm/WangZF22,2022,WSDM,inproceedings,Scalable Graph Topology Learning via Spectral Densification.,Yongyu Wang|Zhiqiang Zhao|Zhuo Feng
conf/wsdm/OvaisiHLZZX22,2022,WSDM,inproceedings,RGRecSys: A Toolkit for Robustness Evaluation of Recommender Systems.,Zohreh Ovaisi|Shelby Heinecke|Jia Li 0015|Yongfeng Zhang 0003|Elena Zheleva|Caiming Xiong
conf/wsdm/XiaLWL21,2021,WSDM,inproceedings,DeepIS: Susceptibility Estimation on Social Networks.,Wenwen Xia|Yuchen Li 0001|Jun Wu 0001|Shenghong Li 0001
conf/wsdm/WuWYLHX19,2019,WSDM,inproceedings,MSA: Jointly Detecting Drug Name and Adverse Drug Reaction Mentioning Tweets with Multi-Head Self-Attention.,Chuhan Wu|Fangzhao Wu|Zhigang Yuan|Junxin Liu|Yongfeng Huang 0001|Xing Xie 0001
conf/wsdm/DengZKZZC20,2020,WSDM,inproceedings,Meta-Learning with Dynamic-Memory-Based Prototypical Network for Few-Shot Event Detection.,Shumin Deng|Ningyu Zhang 0001|Jiaojian Kang|Yichi Zhang 0010|Wei Zhang 0127|Huajun Chen
conf/wsdm/LiuW0YLZ24,2024,WSDM,inproceedings,Capturing Temporal Node Evolution via Self-supervised Learning: A New Perspective on Dynamic Graph Learning.,Lingwen Liu|Guangqi Wen|Peng Cao 0001|Jinzhu Yang|Weiping Li 0002|Osmar R. Za
conf/wsdm/WuL18,2018,WSDM,inproceedings,Tracing Fake-News Footprints: Characterizing Social Media Messages by How They Propagate.,Liang Wu 0006|Huan Liu 0001
conf/wsdm/Pujara018,2018,WSDM,inproceedings,Mining Knowledge Graphs From Text.,Jay Pujara|Sameer Singh 0001
