key,year,venue,pub_type,title,authors
conf/sdm/BhowmikCXR19,2019,SDM,inproceedings,EstImAgg: A Learning Framework for Groupwise Aggregated Data.,Avradeep Bhowmik|Minmin Chen|Zhengming Xing|Suju Rajan
conf/sdm/EvansN18,2018,SDM,inproceedings,Exploiting Structure for Fast Kernel Learning.,Trefor W. Evans|Prasanth B. Nair
conf/sdm/0002CPW24,2024,SDM,inproceedings,RHINE: A Regime-Switching Model with Nonlinear Representation for Discovering and Forecasting Regimes in Financial Markets.,Kunpeng Xu 0002|Lifei Chen|Jean-Marc Patenaude|Shengrui Wang
conf/sdm/0001TG23,2023,SDM,inproceedings,Ranking with submodular functions on the fly.,Guangyi Zhang 0001|Nikolaj Tatti|Aristides Gionis
conf/sdm/XiaoEHM023,2023,SDM,inproceedings,Taxonomy-Guided Fine-Grained Entity Set Expansion.,Jinfeng Xiao|Mohab Elkaref|Nathan Herr|Geeth De Mel|Jiawei Han 0001
conf/sdm/Fan0LHDF21,2021,SDM,inproceedings,AutoGFS: Automated Group-based Feature Selection via Interactive Reinforcement Learning.,Wei Fan 0010|Kunpeng Liu 0001|Hao Liu 0026|Ahmad Hariri|Dejing Dou|Yanjie Fu
conf/sdm/MayaYNU20,2020,SDM,inproceedings,Lag-Aware Multivariate Time-Series Segmentation.,Shigeru Maya|Akihiro Yamaguchi|Kaneharu Nishino|Ken Ueno
conf/sdm/MarxF22,2022,SDM,inproceedings,Estimating Mutual Information via Geodesic,Alexander Marx 0001|Jonas Fischer
conf/sdm/DavidsonLGWVR24,2024,SDM,inproceedings,An Exemplars-Based Approach for Explainable Clustering: Complexity and Efficient Approximation Algorithms.,Ian Davidson|Michael J. Livanos|Antoine Gourru|Peter B. Walker|Julien Velcin|S. S. Ravi
conf/sdm/YiLGLYZ19,2019,SDM,inproceedings,Fast Unsupervised Location Category Inference from Highly Inaccurate Mobility Data.,Jinfeng Yi|Qi Lei|Wesley M. Gifford|Ji Liu|Junchi Yan|Bowen Zhou 0001
conf/sdm/Cui0Z00M24,2024,SDM,inproceedings,Automated Fusion of Multimodal Electronic Health Records for Better Medical Predictions.,Suhan Cui|Jiaqi Wang 0002|Yuan Zhong 0002|Han Liu 0008|Ting Wang 0006|Fenglong Ma
conf/sdm/Saxena0S23,2023,SDM,inproceedings,Missed Opportunities in Fair AI.,Nripsuta Ani Saxena|Wenbin Zhang 0002|Cyrus Shahabi
conf/sdm/0074PL022,2022,SDM,inproceedings,Joint Time Series Chain: Detecting Unusual Evolving Trend across Time Series.,Li Zhang 0074|Nital Patel|Xiuqi Li|Jessica Lin 0001
conf/sdm/0074DG023,2023,SDM,inproceedings,PMP: Privacy-Aware Matrix Profile against Sensitive Pattern Inference for Time Series.,Li Zhang 0074|Jiahao Ding|Yifeng Gao 0001|Jessica Lin 0001
conf/sdm/SetoWZ21,2021,SDM,inproceedings,HALO: Learning to Prune Neural Networks with Shrinkage.,Skyler Seto|Martin T. Wells|Wenyu Zhang 0003
conf/sdm/NingTRRSR18,2018,SDM,inproceedings,STAPLE: Spatio-Temporal Precursor Learning for Event Forecasting.,Yue Ning 0001|Rongrong Tao|Chandan K. Reddy|Huzefa Rangwala|James C. Starz|Naren Ramakrishnan
conf/sdm/DevosMD21,2021,SDM,inproceedings,Verifying Tree Ensembles by Reasoning about Potential Instances.,Laurens Devos|Wannes Meert|Jesse Davis
conf/sdm/PannatierPF22,2022,SDM,inproceedings,Efficient Wind Speed Nowcasting with GPU-Accelerated Nearest Neighbors Algorithm.,Arnaud Pannatier|Ricardo Picatoste|Fran
conf/sdm/YuanSZZ024,2024,SDM,inproceedings,MultiNetAD: Multiplex Network-Based Anomaly Access Detection Featuring Semantic Hierarchies.,Ziqi Yuan|Qingyun Sun|Haoyi Zhou|Zukun Zhu|Jianxin Li 0002
conf/sdm/BaiTW0Y022,2022,SDM,inproceedings,Collaborative Attention Mechanism for Multi-Modal Time Series Classification.,Yue Bai|Zhiqiang Tao|Lichen Wang|Sheng Li 0001|Yu Yin 0001|Yun Fu 0001
conf/sdm/TsitsikasP20,2020,SDM,inproceedings,,Yorgos Tsitsikas|Evangelos E. Papalexakis
conf/sdm/KlosterSP19,2019,SDM,inproceedings,Mining Maximal Induced Bicliques using Odd Cycle Transversals.,Kyle Kloster|Blair D. Sullivan|Andrew van der Poel
conf/sdm/LiZSX23,2023,SDM,inproceedings,Debiased Imitation Learning for Modulated Temporal Point Processes.,Zhuoqun Li 0001|Zihan Zhou 0003|Mingxuan Sun 0001|Hongteng Xu
