key,year,venue,pub_type,title,authors
conf/isdmci/ZaytsevaKTY21,2021,ISDMCI,inproceedings,Simulation Modeling as a Means of Solving Professionally-Oriented Problems in Maritime Industry.,Tatyana Zaytseva|Lyudmyla V. Kravtsova|Oksana Tereshchenkova|Alona Yurzhenko
conf/isdmci/FefelovaFLOS21,2021,ISDMCI,inproceedings,Prediction of Native Protein Conformation by a Hybrid Algorithm of Clonal Selection and Differential Evolution.,Iryna Fefelova|Andrey Fefelov|Volodymyr Lytvynenko|Oksana Ohnieva|Saule Smailova
conf/isdmci/HnatushenkoSS22,2022,ISDMCI,inproceedings,Processing Technology of Thematic Identification and Classification of Objects in the Multispectral Remote Sensing Imagery.,Volodymyr V. Hnatushenko|Yana I. Shedlovska|Igor Shedlovsky
conf/isdmci/AntoshchukB24,2024,ISDMCI (1),inproceedings,Models of Information Analysis in Automated Online Proctoring Systems.,Svitlana Antoshchuk|Anastasiia Breskina
conf/isdmci/SharkoGP19,2019,ISDMCI,inproceedings,Information-Entropy Model of Making Management Decisions in the Economic Development of the Enterprises.,Marharyta Sharko|Nataliya Gusarina|Nataliya Petrushenko
conf/isdmci/VysotskaBLO19,2019,ISDMCI,inproceedings,Automated Monitoring of Changes in Web Resources.,Victoria Vysotska|Yevhen Burov|Vasyl Lytvyn|Oleg Oleshek
conf/isdmci/MochuradS19,2019,ISDMCI,inproceedings,Optimizing the Computational Modeling of Modern Electronic Optical Systems.,Lesia I. Mochurad|Albota Solomiia
conf/isdmci/SoldatenkoH22,2022,ISDMCI,inproceedings,Investigation of the Impact of Primary Data Processing on the Results of Neural Network Training for Satellite Imagery Recognition.,Dmytro Soldatenko|Victoriia Hnatushenko
conf/isdmci/KotelovychBM24,2024,ISDMCI (1),inproceedings,Stabilization of a Quintuple Inverted Pendulum System in Isaac Sim.,Denys Kotelovych|Yurii Borzov|Ihor Malets
conf/isdmci/PolyvodaRKRL19,2019,ISDMCI,inproceedings,Digital Acoustic Signal Processing Methods for Diagnosing Electromechanical Systems.,Oksana Polyvoda|Hanna Rudakova|Inna Kondratieva|Yuriy Rozov|Yurii Lebedenko
conf/isdmci/PashkoKSW21,2021,ISDMCI,inproceedings,Baseline Wander Correction of the Electrocardiogram Signals for Effective Preprocessing.,Anatolii Pashko|Iurii Krak|Oleg Stelia|Waldemar W
conf/isdmci/GorokhovatskyiG19,2019,ISDMCI,inproceedings,Recognition of Visual Objects Based on Statistical Distributions for Blocks of Structural Description of Image.,Volodymyr Gorokhovatskyi|Svitlana Gadetska|Roman Ponomarenko
conf/isdmci/KotsovskyGB19,2019,ISDMCI,inproceedings,On the Computational Complexity of Learning Bithreshold Neural Units and Networks.,Vladyslav Kotsovsky|Fedir Geche|Anatoliy Batyuk
